Name;Year;Durasi(Menit);Rating;Rated
Dial M for Murder;1954;105;8.2;PG
Chinatown;1974;130;8.1;X
Gone with the Wind;1939;238;8.2;PG
Lock, Stock and Two Smoking Barrels;1998;107;8.1;18
V for Vendetta;2005;132;8.2;15
The Secret in Their Eyes;2009;129;8.2;18
Inside Out;2015;95;8.1;U
Raging Bull;1980;129;8.1;X
Three Billboards Outside Ebbing, Missouri;2017;115;8.1;15
Trainspotting;1996;93;8.1;18
The Bridge on the River Kwai;1957;161;8.1;PG
Klaus;2019;96;8.2;PG
Fargo;1996;98;8.1;18
Catch Me If You Can;2002;141;8.1;12A
Spider-Man: No Way Home;2021;148;8.2;12A
Warrior;2011;140;8.1;12A
Gran Torino;2008;116;8.1;15
Harry Potter and the Deathly Hallows: Part 2;2011;130;8.1;12A
Million Dollar Baby;2004;132;8.1;12A
My Neighbour Totoro;1988;86;8.1;U
Children of Heaven;1997;89;8.2;PG
Years a Slave;2013;134;8.1;15
Ben-Hur;1959;212;8.1;PG
Blade Runner;1982;117;8.1;AA
Before Sunrise;1995;101;8.1;15
Barry Lyndon;1975;185;8.1;PG
The Grand Budapest Hotel;2014;99;8.1;15
Mad Max: Fury Road;2015;;8.1;15
Gone Girl;2014;149;8.1;18
Hacksaw Ridge;2016;139;8.1;15
Dead Poets Society;1989;128;8.1;PG
The Gold Rush;1925;95;8.1;U
Memories of Murder;2003;131;8.1;15
In the Name of the Father;1993;133;8.1;15
Wild Tales;2014;122;8.1;15
Monsters, Inc.;2001;92;8.1;U
The Deer Hunter;1978;183;8.1;X
The General;1926;78;8.1;U
On the Waterfront;1954;108;8.1;PG
Sherlock Jr.;1924;;8.2;U
How to Train Your Dragon;2010;98;8.1;PG
Jaws;1975;124;8.1;PG
Mary and Max;2009;92;8.1;12A
The Wages of Fear;1953;131;8.1;PG
The Third Man;1949;104;8.1;PG
Wild Strawberries;1957;91;8.1;PG
Ratatouille;2007;111;8.1;PG
Mr. Smith Goes to Washington;1939;129;8.1;U
Le Mans '66;2019;152;8.1;12A
Tokyo Story;1953;136;8.1;U
The Big Lebowski;1998;117;8.1;18
The Seventh Seal;1957;96;8.1;PG
Rocky;1976;;8.1;PG
Room;2015;118;8.1;15
Logan;2017;137;8.1;15
Spotlight;2015;129;8.1;15
Hotel Rwanda;2004;121;8.1;12A
The Terminator;1984;107;8.1;18
Platoon;1986;;8.1;15
The Passion of Joan of Arc;1928;110;8.1;PG
La haine;1995;98;8.1;15
Before Sunset;2004;80;8.1;15
The Best Years of Our Lives;1946;170;8.1;U
Pirates of the Caribbean: The Curse of the Black Pearl;2003;143;8.1;12A
Jai Bhim;2021;164;8.7;Not Rated
The Exorcist;1973;122;8.1;X
Rush;2013;123;8.1;15
Network;1976;121;8.1;AA
The Wizard of Oz;1939;102;8.1;A
Stand by Me;1986;89;8.1;15
The Incredibles;2004;115;8.0;U
Hachi: A Dog's Tale;2009;93;8.1;U
My Father and My Son;2005;112;8.2;PG
The Handmaiden;2016;145;8.1;18
The Sound of Music;1965;172;8.1;U
Into the Wild;2007;148;8.1;15
To Be or Not to Be;1942;99;8.1;U
The Battle of Algiers;1966;121;8.1;X
The Grapes of Wrath;1940;129;8.1;PG
Groundhog Day;1993;101;8.0;PG
Amores perros;2000;154;8.1;18
The Iron Giant;1999;86;8.1;PG
Rebecca;1940;130;8.1;PG
Cool Hand Luke;1967;127;8.1;A
The Help;2011;146;8.1;12A
It Happened One Night;1934;105;8.1;A
Drishyam;2015;163;8.2;12A
Dances with Wolves;1990;181;8.0;PG
Aladdin;1992;90;8.0;U
Scent of a Woman;1992;156;8.0;15
