Name, Year, Durasi(Menit), Rating, Rated 
Spider-Man: Into the Spider-Verse,2018,117,9.3,PG
Witness for the Prosecution,1957,116,9.3,U
The Shining,1980,146,9.3,X
The Great Dictator,1940,125,9.3,PG
Aliens,1986,137,9.3,18
Inglourious Basterds,2009,153,9.3,18
The Dark Knight Rises,2012,164,9.3,12A
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95,9.3,PG
Coco,2017,105,9.3,PG
Oldboy,2003,105,9.3,18
American Beauty,1999,122,9.3,18
Amadeus,1984,160,9.3,PG
Toy Story,1995,81,9.3,PG
Avengers: Endgame,2019,181,9.3,12A
Das Boot,1981,149,9.3,AA
Braveheart,1995,178,9.3,15
Good Will Hunting,1997,126,9.3,15
Princess Mononoke,1997,134,9.3,PG
Joker,2019,122,9.3,15
Your Name.,2016,106,9.3,12A
High and Low,1963,143,9.3,12
Once Upon a Time in America,1984,229,9.3,18
3 Idiots,2009,170,9.3,12A
Singin' in the Rain,1952,103,9.3,U
Capernaum,2018,126,9.3,15
Come and See,1985,142,9.3,15
Requiem for a Dream,2000,102,9.3,18
Toy Story 3,2010,103,9.3,PG
Star Wars: Episode VI - Return of the Jedi,1983,131,9.3,PG
Eternal Sunshine of the Spotless Mind,2004,108,9.3,15
The Hunt,2012,115,9.3,15
A Space Odyssey,1968,149,9.3,U
Reservoir Dogs,1992,99,9.3,18
Ikiru,1952,143,9.3,PG
Oppenheimer,2023,143,9.3,15
Lawrence of Arabia,1962,218,9.3,PG
The Apartment,1960,125,9.3,PG
Incendies,2010,131,9.3,15
North by Northwest,1959,136,9.3,PG
Citizen Kane,1941,119,9.3,A
M,1931,117,9.3,PG
Scarface,1983,170,9.3,18
Double Indemnity,1944,107,9.3,A
Vertigo,1958,128,9.3,PG
Full Metal Jacket,1987,116,9.3,18
Amélie,2001,122,9.3,15
Heat,1995,170,9.3,15
Up,2009,96,9.3,U
A Clockwork Orange,1971,136,9.3,X
To Kill a Mockingbird,1962,129,9.3,PG
A Separation,2011,123,9.3,PG
The Sting,1973,129,9.3,PG
Indiana Jones and the Last Crusade,1989,127,9.3,PG
Die Hard,1988,132,9.3,18
Like Stars on Earth,2007,162,9.3,PG
Metropolis,1927,153,9.3,PG
Snatch,2000,104,9.3,18
L.A. Confidential,1997,138,9.3,18
1917,2019,119,9.3,15
Hamilton,2020,160,9.3,12
Bicycle Thieves,1948,89,9.3,U
Taxi Driver,1976,114,9.3,18
Downfall,2004,156,9.3,15
Dangal,2016,161,9.3,PG
For a Few Dollars More,1965,132,9.3,15
Batman Begins,2005,140,9.3,12A
The Wolf of Wall Street,2013,140,9.3,18
Some Like It Hot,1959,121,9.3,A
Green Book,2018,130,9.3,12A
The Kid,1921,68,9.3,U
The Father,2020,97,9.3,12A
Judgment at Nuremberg,1961,179,9.3,PG
The Truman Show,1998,103,9.3,PG
All About Eve,1950,138,9.3,PG
Top Gun: Maverick,2022,130,9.3,12A
Shutter Island,2010,138,9.3,15
There Will Be Blood,2007,158,9.3,12A
Casino,1995,178,9.3,18
Jurassic Park,1993,127,9.3,PG
Ran,1985,160,9.3,15
The Sixth Sense,1999,107,9.3,15
Pan's Labyrinth,2006,118,9.3,15
Unforgiven,1992,130,9.3,15
No Country for Old Men,2007,122,9.3,15
A Beautiful Mind,2001,135,9.3,12
The Thing,1982,109,9.3,X
Kill Bill: Vol. 1,2003,111,9.3,18
The Treasure of the Sierra Madre,1948,126,9.3,PG
