Name;Year;Durasi(Menit);Rating;Rated;Budget;Gross_Us;Opening_Week;Open_Week_Date;Gross_World;Runtime;Color;Sound_Mix;Aspect_Ratio
How to Train Your Dragon;2010;98.0;8.1;PG;165000000;217581231;43732319;2010-03-28 00:00:00;494879860;98;Color;Dolby DigitalDTSSDDS;2.39 : 1
Jaws;1975;124.0;8.1;PG;7000000;266567580;7061513;1975-06-22 00:00:00;477220580;0;;;
Mary and Max;2009;92.0;8.1;12A;0;0;0;1900-01-01 00:00:00;0;92;ColorBlack and White;Dolby Digital;1.85 : 1
The Wages of Fear;1953;131.0;8.1;PG;0;0;0;1900-01-01 00:00:00;0;0;;;
The Third Man;1949;104.0;8.1;PG;0;0;0;1900-01-01 00:00:00;0;0;;;
Wild Strawberries;1957;91.0;8.1;PG;0;0;0;1900-01-01 00:00:00;0;91;Black and White;Mono;1.33 : 1
Ratatouille;2007;111.0;8.1;PG;150000000;206445654;47027395;2007-07-01 00:00:00;623728318;111;Color;SDDSDolby DigitalDolby Atmos;2.39 : 1
Mr. Smith Goes to Washington;1939;129.0;8.1;U;1900000;144738;83205;2018-10-14 00:00:00;145941;0;;;
Le Mans '66;2019;152.0;8.1;12A;97600000;117624357;31474958;2019-11-17 00:00:00;225508210;152;Color;Dolby AtmosDolby Digital;2.39 : 1
Tokyo Story;1953;136.0;8.1;U;0;0;0;1900-01-01 00:00:00;0;136;Black and White;Mono;1.37 : 1
The Big Lebowski;1998;117.0;8.1;18;15000000;19301403;5533844;1998-03-08 00:00:00;48066229;117;Color;DTSDolby DigitalSDDS;1.85 : 1
The Seventh Seal;1957;96.0;8.1;PG;0;0;0;1900-01-01 00:00:00;0;0;;;
Rocky;1976;;8.1;PG;0;0;0;1900-01-01 00:00:00;0;0;Color;MonoDolby Digital;1.85 : 1
Room;2015;118.0;8.1;15;13000000;14677654;118298;2015-10-18 00:00:00;35402766;118;Color;Dolby DigitalDatasatDolby Atmos;2.35 : 12.39 : 1
Logan;2017;137.0;8.1;15;97000000;226277068;88411916;2017-03-05 00:00:00;619180476;137;Color;Dolby AtmosDolby DigitalDolby Surround 7.1SDDS;2.39 : 1
Spotlight;2015;129.0;8.1;15;20000000;45055776;295009;2015-11-08 00:00:00;98690254;129;Color;Dolby Digital;1.85 : 1
Hotel Rwanda;2004;121.0;8.1;12A;17500000;23530892;100091;2004-12-26 00:00:00;33882243;121;Color;DTSDolby Digital;2.35 : 1
The Terminator;1984;107.0;8.1;18;6400000;38371200;4020663;1984-10-28 00:00:00;78371200;107;Color;Mono(original release);1.85 : 1
Platoon;1986;;8.1;15;6000000;138530565;241080;1986-12-21 00:00:00;138545632;0;Color;Dolby StereoDolby Digital;1.85 : 1
The Passion of Joan of Arc;1928;110.0;8.1;PG;0;0;0;1900-01-01 00:00:00;0;110;Black and White;Silent;1.33 : 1
La haine;1995;98.0;8.1;15;0;0;0;1900-01-01 00:00:00;0;98;Black and White;Dolby Digital;1.85 : 1
Before Sunset;2004;80.0;8.1;15;2700000;5820649;219425;2004-07-04 00:00:00;15855022;80;Color;DTSDolby DigitalSDDS;1.85 : 1
The Best Years of Our Lives;1946;170.0;8.1;U;0;0;0;1900-01-01 00:00:00;0;0;;;
Pirates of the Caribbean: The Curse of the Black Pearl;2003;143.0;8.1;12A;140000000;305413918;46630690;2003-07-13 00:00:00;654264546;143;Color;Dolby Digital EXSDDSDTS;2.39 : 1
Jai Bhim;2021;164.0;8.7;Not Rated;0;0;0;1900-01-01 00:00:00;0;0;;;
The Exorcist;1973;122.0;8.1;X;11000000;233005644;8175666;2000-09-24 00:00:00;441306145;122;Color;Mono(original release);1.85 : 1
Rush;2013;123.0;8.1;15;38000000;26947624;187289;2013-09-22 00:00:00;96992516;123;Color;Dolby DigitalDatasatSDDS;2.35 : 1
Network;1976;121.0;8.1;AA;0;0;0;1900-01-01 00:00:00;0;121;Color;Mono;1.85 : 1
The Wizard of Oz;1939;102.0;8.1;A;2777000;24668669;5354311;1998-11-08 00:00:00;25637669;0;;;
Stand by Me;1986;89.0;8.1;15;8000000;52287414;242795;1986-08-10 00:00:00;52290509;89;Color;Dolby AtmosDolby DigitalMono;1.85 : 1
The Incredibles;2004;115.0;8.0;U;92000000;261441092;70467623;2004-11-07 00:00:00;631688498;115;Black and WhiteColor;Dolby Digital EX;2.39 : 12.35 : 1
Hachi: A Dog's Tale;2009;93.0;8.1;U;0;0;0;1900-01-01 00:00:00;0;93;Color;DTSDolby DigitalSDDS;1.85 : 1
My Father and My Son;2005;112.0;8.2;PG;0;0;0;1900-01-01 00:00:00;0;112;Color;Dolby Digital;1.85 : 1
The Handmaiden;2016;145.0;8.1;18;10000000000;2006788;92129;2016-10-23 00:00:00;37863670;145;Color;Dolby DigitalDolby AtmosDolby Surround 7.1;2.35 : 1
The Sound of Music;1965;172.0;8.1;U;8200000;159287539;413497;2018-09-09 00:00:00;159475084;0;;;
Into the Wild;2007;148.0;8.1;15;15000000;18354356;212440;2007-09-23 00:00:00;56676733;148;Color;DTSDolby DigitalSDDS;2.39 : 1
To Be or Not to Be;1942;99.0;8.1;U;0;0;0;1900-01-01 00:00:00;0;0;;;
The Battle of Algiers;1966;121.0;8.1;X;800000;879794;64870;2004-01-11 00:00:00;962002;121;Black and White;Mono;1.85 : 1
The Grapes of Wrath;1940;129.0;8.1;PG;0;0;0;1900-01-01 00:00:00;0;0;;;
Groundhog Day;1993;101.0;8.0;PG;14600000;71107962;12517672;1993-02-14 00:00:00;71108778;101;Color;Dolby StereoDolby DigitalDolby Atmos;1.85 : 1
Amores perros;2000;154.0;8.1;18;2000000;5408467;61047;2001-04-01 00:00:00;20908467;154;Color;Dolby Digital;1.85 : 1
The Iron Giant;1999;86.0;8.1;PG;70000000;23315035;5732614;1999-08-08 00:00:00;23336504;0;;;
Rebecca;1940;130.0;8.1;PG;0;0;0;1900-01-01 00:00:00;0;0;;;
Cool Hand Luke;1967;127.0;8.1;A;0;0;0;1900-01-01 00:00:00;0;0;;;
The Help;2011;146.0;8.1;12A;25000000;169708112;26044590;2011-08-14 00:00:00;216639132;146;Color;Dolby DigitalSDDSDatasat;1.85 : 1
It Happened One Night;1934;105.0;8.1;A;0;0;0;1900-01-01 00:00:00;0;0;;;
Drishyam;2015;163.0;8.2;12A;0;0;0;1900-01-01 00:00:00;0;163;Color;Dolby Digital;2.35 : 1
Dances with Wolves;1990;181.0;8.0;PG;22000000;184208848;598257;1990-11-11 00:00:00;424208848;0;;;
Aladdin;1992;90.0;8.0;U;28000000;217350219;196664;1992-11-15 00:00:00;504050219;90;Color;Dolby Stereo;1.78 : 11.85 : 1
Scent of a Woman;1992;156.0;8.0;15;31000000;63095253;357468;1992-12-27 00:00:00;134095253;156;Color;Dolby Stereo;1.85 : 1
