Name;Year;Durasi(Menit);Rating;Rated;Budget;Gross_Us;Opening_Week;Open_Week_Date;Gross_World;Runtime;Color;Sound_Mix;Aspect_Ratio
Grave of the Fireflies;1988;89.0;8.5;12A;3700000;516962;158101;2018-08-12 00:00:00;519421;89;Color;Dolby StereoStereo;1.85 : 1
Harakiri;1962;133.0;8.6;X;0;0;0;1900-01-01 00:00:00;0;133;Black and White;Mono;2.35 : 1
The Usual Suspects;1995;106.0;8.5;18;6000000;23341568;645363;1995-08-20 00:00:00;23341568;0;;;
Casablanca;1942;102.0;8.5;U;950000;4219709;181494;1992-04-12 00:00:00;4662952;0;;;
Untouchable;2011;112.0;8.5;15;9500000;10198820;103507;2012-05-27 00:00:00;426590315;112;Color;Dolby Digital;1.85 : 1
Cinema Paradiso;1988;174.0;8.5;PG;5000000;12397210;16552;1990-02-04 00:00:00;13020497;174;Color;Mono;1.66 : 1
Modern Times;1936;87.0;8.5;U;1500000;163577;35809;2003-12-28 00:00:00;463618;87;Black and White;Silent;1.37 : 1
Rear Window;1954;112.0;8.5;PG;0;0;0;1900-01-01 00:00:00;0;0;;;
Once Upon a Time in the West;1968;166.0;8.5;12;0;0;0;1900-01-01 00:00:00;0;0;;;
Alien;1979;117.0;8.5;X;11000000;84206106;3527881;1979-05-28 00:00:00;108591169;0;;;
City Lights;1931;87.0;8.5;U;1500000;19181;9102;2007-07-08 00:00:00;50419;0;;;
Django Unchained;2012;165.0;8.5;18;100000000;162805434;30122888;2012-12-30 00:00:00;426076293;165;Color;SDDSDatasatDolby Digital;2.39 : 1
Apocalypse Now;1979;147.0;8.4;X;31500000;96042913;118558;1979-08-19 00:00:00;104920499;0;;;
Memento;2000;113.0;8.4;15;9000000;25544867;235488;2001-03-18 00:00:00;40047236;113;ColorBlack and White;Dolby Digital;2.39 : 1
WALL·E;2008;98.0;8.4;U;180000000;223808164;63087526;2008-06-29 00:00:00;527402840;98;Color;DTSSDDSDolby DigitalDolby Atmos;2.39 : 1
12th Fail;2023;147.0;8.9;12A;0;0;0;1900-01-01 00:00:00;0;147;Color;Dolby AtmosDolby Digital;2.39 : 1
Raiders of the Lost Ark;1981;115.0;8.4;PG;18000000;248159971;8305823;1981-06-14 00:00:00;389925971;115;Color;Dolby Atmos;2.39 : 1
The Lives of Others;2006;137.0;8.4;15;2000000;11286112;223000;2007-02-11 00:00:00;77357476;137;Color;Dolby Digital;2.39 : 1
Sunset Blvd.;1950;110.0;8.4;PG;1752000;299645;169067;2018-05-13 00:00:00;304474;0;;;
Avengers: Infinity War;2018;149.0;8.4;12A;321000000;678815482;257698183;2018-04-29 00:00:00;2052415039;0;;;
Paths of Glory;1957;88.0;8.4;PG;0;0;0;1900-01-01 00:00:00;0;0;;;
Spider-Man: Into the Spider-Verse;2018;117.0;8.4;PG;90000000;190241310;35363376;2018-12-16 00:00:00;384298736;117;Color;Dolby AtmosDolby Surround 7.112-Track Digital SoundDolby DigitalSDDS;2.39 : 1
Witness for the Prosecution;1957;116.0;8.4;U;0;0;0;1900-01-01 00:00:00;0;0;;;
The Shining;1980;146.0;8.4;X;19000000;45634352;622337;1980-05-26 00:00:00;47516353;0;;;
The Great Dictator;1940;125.0;8.4;PG;0;0;0;1900-01-01 00:00:00;0;0;;;
Aliens;1986;137.0;8.4;18;18500000;85160248;10052042;1986-07-20 00:00:00;131060248;137;Color;Dolby StereoMono;1.85 : 1
Inglourious Basterds;2009;153.0;8.4;18;70000000;120540719;38054676;2009-08-23 00:00:00;321458605;153;Color;SDDSDolby DigitalDTS;2.39 : 1
The Dark Knight Rises;2012;164.0;8.4;12A;250000000;448149584;160887295;2012-07-22 00:00:00;1085289416;164;Color;SDDSDatasatDolby DigitalIMAX 6-Track;1.78 : 1(IMAX version, original ratio)2.39 : 12.39 : 1(IMAX version, original ratio)
Coco;2017;105.0;8.4;PG;175000000;210460015;50802605;2017-11-26 00:00:00;828369186;105;Color;Dolby AtmosAuro 11.1Dolby Surround 7.112-Track Digital SoundDolby DigitalSDDS;2.35 : 1
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb;1964;95.0;8.3;PG;1800000;9440272;11751;1994-07-17 00:00:00;9631984;0;;;
Oldboy;2003;;8.3;18;3000000;2458200;68957;2005-03-27 00:00:00;17542965;0;Color;Dolby DigitalDolby Surround 7.1Dolby Digital EXDTS;2.35 : 1
American Beauty;1999;122.0;8.3;18;15000000;130096601;861531;1999-09-19 00:00:00;356296601;122;ColorBlack and White;DTSDolby DigitalSDDSDolby;2.39 : 1
Amadeus;1984;160.0;8.4;PG;18000000;51973029;505276;1984-09-23 00:00:00;52071304;0;;;
Toy Story;1995;81.0;8.3;PG;30000000;223225679;29140617;1995-11-26 00:00:00;394436586;0;;;
Avengers: Endgame;2019;181.0;8.4;12A;356000000;858373000;357115007;2019-04-28 00:00:00;2799439100;0;;;
Das Boot;1981;149.0;8.4;AA;32000000;11487676;26994;1982-02-14 00:00:00;11488778;0;;;
Braveheart;1995;178.0;8.3;15;72000000;75609945;9938276;1995-05-28 00:00:00;213216216;178;Color;DTSDolby DigitalDolby Atmos;2.39 : 1
Good Will Hunting;1997;126.0;8.3;15;10000000;138433435;272912;1997-12-07 00:00:00;225933435;126;Color;Dolby Digital;1.85 : 1
Princess Mononoke;1997;134.0;8.3;PG;2400000000;4845631;144446;1999-10-31 00:00:00;170308265;0;;;
Joker;2019;122.0;8.4;15;55000000;335477657;96202337;2019-10-06 00:00:00;1078958629;122;Color;SDDSDolby AtmosDatasatDolby Digital;1.85 : 1
Your Name.;2016;106.0;8.4;12A;370000000;5017246;1813781;2017-04-09 00:00:00;382238191;106;Color;Dolby Digital;1.78 : 1(original ratio)
High and Low;1963;143.0;8.4;12;0;0;0;1900-01-01 00:00:00;0;0;;;
Once Upon a Time in America;1984;229.0;8.3;18;30000000;5321508;2412014;1984-06-03 00:00:00;5475086;229;Color;MonoDolby Digital;1.85 : 1
3 Idiots;2009;170.0;8.4;12A;550000000;6532874;1645502;2009-12-27 00:00:00;60262836;170;Color;Dolby DigitalDTS;2.35 : 1
Singin' in the Rain;1952;103.0;8.3;U;2540800;1884537;13643;2002-11-10 00:00:00;2085212;103;ColorBlack and White;Dolby Digital;1.37 : 1
Capernaum;2018;126.0;8.4;15;4000000;1661096;24988;2018-12-16 00:00:00;64417003;126;Color;Dolby Digital;2.35 : 1
Come and See;1985;142.0;8.4;15;0;0;0;1900-01-01 00:00:00;0;142;Color;Mono;1.37 : 1
Requiem for a Dream;2000;102.0;8.3;18;4500000;3635482;64770;2000-10-08 00:00:00;7390108;102;Color;Dolby Surround 7.1Dolby DigitalDolby Atmos;1.85 : 1
Toy Story 3;2010;103.0;8.3;PG;200000000;415004880;110307189;2010-06-20 00:00:00;1067316101;103;Color;SDDSDolby DigitalDolby Surround 7.1Dolby Atmos;1.78 : 1(original & intended ratio, Blu-ray)
Star Wars: Episode VI - Return of the Jedi;1983;131.0;8.3;PG;32500000;316566101;23019618;1983-05-29 00:00:00;475106177;131;Color;Dolby Stereo;2.39 : 1
Eternal Sunshine of the Spotless Mind;2004;108.0;8.3;15;20000000;34400301;8175198;2004-03-21 00:00:00;73393152;108;Color;DTSDolbySDDS;1.85 : 1
The Hunt;2012;115.0;8.3;15;20000000;613308;43045;2013-07-14 00:00:00;15886373;115;Color;Dolby Digital;2.35 : 1
Reservoir Dogs;1992;99.0;8.3;18;1200000;2832029;147839;1992-10-25 00:00:00;2930208;99;Color;Dolby StereoDolby Digital;2.35 : 1
Ikiru;1952;143.0;8.3;PG;0;0;0;1900-01-01 00:00:00;0;143;Black and White;Mono;1.37 : 1
Oppenheimer;2023;;8.3;15;100000000;329862540;82455420;2023-07-23 00:00:00;975045189;0;;;
Lawrence of Arabia;1962;218.0;8.3;PG;15000000;45306425;20846;2002-09-22 00:00:00;45752380;0;;;
The Apartment;1960;125.0;8.3;PG;0;0;0;1900-01-01 00:00:00;0;0;;;
Incendies;2010;131.0;8.3;15;6800000;2071334;50679;2011-04-24 00:00:00;6797861;131;Color;Dolby Digital;1.85 : 1
North by Northwest;1959;136.0;8.3;PG;0;0;0;1900-01-01 00:00:00;0;0;;;
Citizen Kane;1941;119.0;8.3;A;0;0;0;1900-01-01 00:00:00;0;0;;;
M;1931;117.0;8.3;PG;0;0;0;1900-01-01 00:00:00;0;117;Black and White;Mono;1.19 : 11.20 : 1
Scarface;1983;170.0;8.3;18;50000000;45967303;4597536;1983-12-11 00:00:00;66443303;170;Color;4-Track Stereo(original release);2.39 : 1
Double Indemnity;1944;107.0;8.3;A;0;0;0;1900-01-01 00:00:00;0;0;;;
Vertigo;1958;128.0;8.3;PG;2479000;7705225;252880;2018-03-18 00:00:00;7808250;0;;;
Full Metal Jacket;1987;116.0;8.3;18;30000000;46357676;2217307;1987-06-28 00:00:00;50187505;0;;;
Amélie;2001;122.0;8.3;15;10000000;33712444;136470;2001-11-04 00:00:00;174926430;122;ColorBlack and White;DTSDolby Digital;2.39 : 1
Heat;1995;170.0;8.3;15;60000000;67436818;8445656;1995-12-17 00:00:00;187436818;170;Color;Dolby DigitalSDDSDolby Surround 5.1;2.39 : 1
Up;2009;96.0;8.3;U;175000000;293004164;68108790;2009-05-31 00:00:00;735102136;96;Color;SDDSDolby DigitalDolby AtmosDolby Surround 7.1;1.85 : 1
A Clockwork Orange;1971;136.0;8.3;X;0;0;0;1900-01-01 00:00:00;0;136;ColorBlack and White;Mono;1.66 : 1
To Kill a Mockingbird;1962;129.0;8.3;PG;2000000;592237;357549;2019-03-24 00:00:00;599146;129;Black and White;Dolby Digital;1.85 : 1
A Separation;2011;123.0;8.3;PG;500000;7099055;59481;2012-01-01 00:00:00;22926076;123;Color;Dolby Digital;1.85 : 1
The Sting;1973;129.0;8.3;PG;0;0;0;1900-01-01 00:00:00;0;0;;;
Indiana Jones and the Last Crusade;1989;127.0;8.2;PG;48000000;197171806;29355021;1989-05-28 00:00:00;474171806;127;Color;Dolby Atmos;2.39 : 1
Die Hard;1988;132.0;8.2;18;28000000;85892546;601851;1988-07-17 00:00:00;143651650;0;;;
Like Stars on Earth;2007;162.0;8.3;PG;0;0;0;1900-01-01 00:00:00;0;162;Color;DTSDolby Digital;2.35 : 1
Metropolis;1927;153.0;8.3;PG;6000000;1236166;19386;2002-07-14 00:00:00;1350322;0;;;
Snatch;2000;104.0;8.2;18;6000000;30328156;27932;2000-12-10 00:00:00;83557872;104;Color;Dolby DigitalSDDSDolby Atmos;1.85 : 1
L.A. Confidential;1997;138.0;8.2;18;35000000;64616940;5211198;1997-09-21 00:00:00;126216940;138;Color;Dolby Digital;2.39 : 1
1917;2019;119.0;8.2;15;95000000;159227644;576216;2019-12-29 00:00:00;390411425;119;Color;Dolby AtmosDolby DigitalDolby Surround 7.1;2.39 : 1
Hamilton;2020;160.0;8.3;12;0;0;0;1900-01-01 00:00:00;0;160;Color;Dolby AtmosDolby Surround 7.1Dolby Digital;1.85 : 1
Bicycle Thieves;1948;89.0;8.3;U;133000;371111;25377;1998-10-04 00:00:00;450159;89;Black and White;Mono;1.37 : 1
Taxi Driver;1976;114.0;8.2;18;1300000;28262574;116458;1996-02-19 00:00:00;28579636;0;;;
Downfall;2004;156.0;8.2;15;13500000;5509040;18195;2005-02-20 00:00:00;92181574;156;Color;Dolby DigitalDTS;1.85 : 1
Dangal;2016;161.0;8.3;PG;700000000;12391761;3248481;2016-12-25 00:00:00;303723636;161;Color;Dolby Atmos;2.35 : 1
For a Few Dollars More;1965;132.0;8.2;15;0;0;0;1900-01-01 00:00:00;0;132;Color;Mono;2.35 : 1
Batman Begins;2005;140.0;8.2;12A;150000000;206863479;48745440;2005-06-19 00:00:00;375325692;140;Color;DTSDolby DigitalSDDS;2.39 : 1
The Wolf of Wall Street;2013;;8.2;18;100000000;116900694;18361578;2013-12-29 00:00:00;407039432;0;Color;DatasatDolby DigitalDolby Surround 7.1;2.39 : 1
Some Like It Hot;1959;121.0;8.2;A;0;0;0;1900-01-01 00:00:00;0;0;;;
Green Book;2018;130.0;8.2;12A;23000000;85080171;320429;2018-11-18 00:00:00;321752656;130;Color;Dolby Surround 7.1SDDS;2.00 : 1
The Kid;1921;68.0;8.2;U;0;0;0;1900-01-01 00:00:00;0;0;;;
The Father;2020;97.0;8.2;12A;0;0;0;1900-01-01 00:00:00;0;97;Color;Dolby Digital;2.39 : 1
Judgment at Nuremberg;1961;179.0;8.3;PG;0;0;0;1900-01-01 00:00:00;0;0;;;
The Truman Show;1998;103.0;8.2;PG;60000000;125618201;31542121;1998-06-07 00:00:00;264118712;103;Color;DTSDolby DigitalDolby Atmos;1.66 : 1
All About Eve;1950;138.0;8.2;PG;1400000;63463;10177;2000-10-08 00:00:00;154501;0;;;
Shutter Island;2010;138.0;8.2;15;80000000;128012934;41062440;2010-02-21 00:00:00;294936473;138;Color;SDDSDolby DigitalDTS;2.39 : 1
Top Gun: Maverick;2022;130.0;8.2;12A;170000000;718732821;126707459;2022-05-29 00:00:00;1495696292;130;Color;Dolby AtmosAuro 11.1IMAX 6-Track12-Track Digital SoundSonics-DDP;2.39 : 1
There Will Be Blood;2007;158.0;8.2;12A;25000000;40222514;190739;2007-12-30 00:00:00;76186224;158;Color;SDDSDolby DigitalDTS;2.39 : 1
Casino;1995;178.0;8.2;18;52000000;42512375;9946480;1995-11-26 00:00:00;116112375;178;Color;DTS-StereoDTS;2.39 : 1
Jurassic Park;1993;127.0;8.2;PG;63000000;407185075;47026828;1993-06-13 00:00:00;1103086582;127;Color;DTS;1.85 : 1
Ran;1985;160.0;8.2;15;11500000;4135750;3567;2000-07-02 00:00:00;4166319;0;;;
The Sixth Sense;1999;107.0;8.2;15;40000000;293506292;26681262;1999-08-08 00:00:00;672806432;107;Color;DTSDolby DigitalSDDS;1.85 : 1
Pan's Labyrinth;2006;118.0;8.2;15;19000000;37646380;568641;2006-12-31 00:00:00;83863565;118;Color;DTSDolby DigitalSDDSDolby Surround 7.1;1.85 : 1
Unforgiven;1992;130.0;8.2;15;14400000;101167799;15018007;1992-08-09 00:00:00;159167799;0;;;
No Country for Old Men;2007;122.0;8.2;15;25000000;74283625;1202000;2007-11-11 00:00:00;171632777;122;Color;SDDSDolby DigitalDTS;2.39 : 1
A Beautiful Mind;2001;135.0;8.2;12;58000000;170742341;367151;2001-12-23 00:00:00;316791257;135;Color;DTSDolby DigitalSDDS;1.85 : 1
The Thing;1982;109.0;8.2;X;15000000;19857465;3107897;1982-06-27 00:00:00;19872469;0;;;
Kill Bill: Vol. 1;2003;111.0;8.2;18;30000000;70099045;22200000;2003-10-12 00:00:00;180908413;111;ColorBlack and White;DTSDolby DigitalSDDS;2.39 : 1
The Treasure of the Sierra Madre;1948;126.0;8.2;PG;3000000;5014000;144074;2018-01-14 00:00:00;5014000;0;;;
Yojimbo;1961;110.0;8.2;PG;0;0;0;1900-01-01 00:00:00;0;0;;;
Monty Python and the Holy Grail;1975;91.0;8.2;12A;229575;2562392;45487;2001-06-17 00:00:00;2817496;0;;;
The Great Escape;1963;172.0;8.2;PG;0;0;0;1900-01-01 00:00:00;0;0;;;
Finding Nemo;2003;100.0;8.2;U;94000000;380843261;70251710;2003-06-01 00:00:00;941637960;0;;;
Prisoners;2013;153.0;8.2;15;46000000;61002302;20817053;2013-09-22 00:00:00;122127446;0;;;
Howl's Moving Castle;2004;119.0;8.2;U;24000000;6789268;427987;2005-06-12 00:00:00;237731798;119;Color;Dolby Digital EXDTS-ESSDDS;1.85 : 1
Rashomon;1950;88.0;8.2;X;250000;46808;15942;2002-07-28 00:00:00;117668;0;;;
The Elephant Man;1980;124.0;8.2;PG;0;0;0;1900-01-01 00:00:00;0;124;Black and White;Dolby Stereo;2.35 : 1
Dial M for Murder;1954;105.0;8.2;PG;1400000;24845;12562;1999-04-11 00:00:00;43308;0;;;
Chinatown;1974;130.0;8.1;X;0;0;0;1900-01-01 00:00:00;0;0;;;
Gone with the Wind;1939;238.0;8.2;PG;3977000;200882193;1192593;1998-06-28 00:00:00;402382193;0;;;
Lock, Stock and Two Smoking Barrels;1998;107.0;8.1;18;960000;3753929;143321;1999-03-07 00:00:00;3753929;107;Color;Dolby Digital;1.85 : 1
V for Vendetta;2005;132.0;8.2;15;54000000;70511035;25642340;2006-03-19 00:00:00;134686457;132;Color;DTSDolby DigitalSDDSDolby Atmos;2.35 : 1
The Secret in Their Eyes;2009;129.0;8.2;18;2000000;6391436;167866;2010-04-18 00:00:00;35079650;129;Color;Dolby Digital;2.35 : 1
Inside Out;2015;95.0;8.1;U;175000000;356921711;90440272;2015-06-21 00:00:00;858852998;95;Color;Dolby DigitalDatasatDolby AtmosSDDSDolby Surround 7.1Auro 11.112-Track Digital SoundD-Cinema 48kHz Dolby Surround 7.1D-Cinema 96kHz 7.1D-Cinema 96kHz 5.1;1.78 : 1
Raging Bull;1980;129.0;8.1;X;18000000;23383987;128590;1980-11-16 00:00:00;23405198;129;Black and WhiteColor;Dolby Stereo;1.85 : 1
Three Billboards Outside Ebbing, Missouri;2017;115.0;8.1;15;15000000;54513740;322168;2017-11-12 00:00:00;162729321;115;Color;Dolby Digital;2.35 : 1
