Name,Budget,Gross_Us,Opening_Week,Open_Week_Date,Gross_World,Runtime,Color,Sound_Mix,Aspect_Ratio
City Lights,1500000,19181,9102,2007-07-08 00:00:00,50419,0,None,None,None
Django Unchained,100000000,162805434,30122888,2012-12-30 00:00:00,426076293,165,Color,SDDSDatasatDolby Digital,2.39 : 1
Apocalypse Now,31500000,96042913,118558,1979-08-19 00:00:00,104920499,0,None,None,None
Memento,9000000,25544867,235488,2001-03-18 00:00:00,40047236,113,ColorBlack and White,Dolby Digital,2.39 : 1
WALL·E,180000000,223808164,63087526,2008-06-29 00:00:00,521320168,98,Color,DTSSDDSDolby DigitalDolby Atmos,2.39 : 1
12th Fail,0,0,0,1900-01-01 00:00:00,0,147,Color,Dolby AtmosDolby Digital,2.39 : 1
Raiders of the Lost Ark,18000000,248159971,8305823,1981-06-14 00:00:00,389925971,115,Color,Dolby Atmos,2.39 : 1
The Lives of Others,2000000,11286112,223000,2007-02-11 00:00:00,77357476,137,Color,Dolby Digital,2.39 : 1
Sunset Blvd.,1752000,299645,169067,2018-05-13 00:00:00,304474,0,None,None,None
Avengers: Infinity War,321000000,678815482,257698183,2018-04-29 00:00:00,2052415039,0,None,None,None
Paths of Glory,0,0,0,1900-01-01 00:00:00,0,0,None,None,None
Spider-Man: Into the Spider-Verse,90000000,190241310,35363376,2018-12-16 00:00:00,384298736,117,Color,Dolby AtmosDolby Surround 7.112-Track Digital SoundDolby DigitalSDDS,2.39 : 1
Witness for the Prosecution,0,0,0,1900-01-01 00:00:00,0,0,None,None,None
The Shining,19000000,45634352,622337,1980-05-26 00:00:00,47516353,0,None,None,None
The Great Dictator,0,0,0,1900-01-01 00:00:00,0,0,None,None,None
Aliens,18500000,85160248,10052042,1986-07-20 00:00:00,131060248,137,Color,Dolby StereoMono,1.85 : 1
Inglourious Basterds,70000000,120540719,38054676,2009-08-23 00:00:00,321458605,153,Color,SDDSDolby DigitalDTS,2.39 : 1
The Dark Knight Rises,250000000,448149584,160887295,2012-07-22 00:00:00,1085289416,164,Color,SDDSDatasatDolby DigitalIMAX 6-Track,1.78 : 1(IMAX version, original ratio)2.39 : 12.39 : 1(IMAX version, original ratio)
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1800000,9440272,11751,1994-07-17 00:00:00,9631984,0,None,None,None
Coco,175000000,210460015,50802605,2017-11-26 00:00:00,814337054,105,Color,Dolby AtmosAuro 11.1Dolby Surround 7.112-Track Digital SoundDolby DigitalSDDS,2.35 : 1
Oldboy,3000000,2458200,68957,2005-03-27 00:00:00,17542965,0,Color,Dolby DigitalDolby Surround 7.1,2.35 : 1
American Beauty,15000000,130096601,861531,1999-09-19 00:00:00,356296601,122,ColorBlack and White,DTSDolby DigitalSDDSDolby,2.39 : 1
Amadeus,18000000,51973029,505276,1984-09-23 00:00:00,52071304,0,None,None,None
Toy Story,30000000,223225679,29140617,1995-11-26 00:00:00,394436586,0,None,None,None
Avengers: Endgame,356000000,858373000,357115007,2019-04-28 00:00:00,2799439100,0,None,None,None
Das Boot,32000000,11487676,26994,1982-02-14 00:00:00,11488778,0,None,None,None
Braveheart,72000000,75609945,9938276,1995-05-28 00:00:00,213216216,178,Color,DTSDolby DigitalDolby Atmos,2.39 : 1
Good Will Hunting,10000000,138433435,272912,1997-12-07 00:00:00,225933435,126,Color,Dolby Digital,1.85 : 1
Princess Mononoke,2400000000,4845631,144446,1999-10-31 00:00:00,170212483,0,None,None,None
Joker,55000000,335477657,96202337,2019-10-06 00:00:00,1078958629,122,Color,SDDSDolby AtmosDatasatDolby Digital,1.85 : 1
Your Name.,370000000,5017246,1813781,2017-04-09 00:00:00,382238191,106,Color,Dolby Digital,1.78 : 1(original ratio)
High and Low,0,0,0,1900-01-01 00:00:00,0,0,None,None,None
Once Upon a Time in America,30000000,5321508,2412014,1984-06-03 00:00:00,5475086,229,Color,MonoDolby Digital,1.85 : 1
3 Idiots,550000000,6532874,1645502,2009-12-27 00:00:00,60262836,170,Color,Dolby DigitalDTS,2.35 : 1
Singin' in the Rain,2540800,1884537,13643,2002-11-10 00:00:00,2010042,103,ColorBlack and White,Dolby Digital,1.37 : 1
Capernaum,4000000,1661096,24988,2018-12-16 00:00:00,64417003,126,Color,Dolby Digital,2.35 : 1
Come and See,0,0,0,1900-01-01 00:00:00,0,142,Color,Mono,1.37 : 1
Requiem for a Dream,4500000,3635482,64770,2000-10-08 00:00:00,7390108,102,Color,Dolby Surround 7.1Dolby DigitalDolby Atmos,1.85 : 1
Toy Story 3,200000000,415004880,110307189,2010-06-20 00:00:00,1067316101,103,Color,SDDSDolby DigitalDolby Surround 7.1Dolby Atmos,1.78 : 1(original & intended ratio, Blu-ray)
Star Wars: Episode VI - Return of the Jedi,32500000,316566101,23019618,1983-05-29 00:00:00,475106177,131,Color,Dolby Stereo,2.39 : 1
Eternal Sunshine of the Spotless Mind,20000000,34400301,8175198,2004-03-21 00:00:00,73392396,108,Color,DTSDolbySDDS,1.85 : 1
The Hunt,20000000,613308,43045,2013-07-14 00:00:00,15886373,115,Color,Dolby Digital,2.35 : 1
2001: A Space Odyssey,12000000,60481243,202759,2018-05-20 00:00:00,66657408,149,Color,Dolby Digital,2.20 : 1
Reservoir Dogs,1200000,2832029,147839,1992-10-25 00:00:00,2930208,99,Color,Dolby StereoDolby Digital,2.35 : 1
Ikiru,0,0,0,1900-01-01 00:00:00,0,143,Black and White,Mono,1.37 : 1
Oppenheimer,100000000,329862540,82455420,2023-07-23 00:00:00,974954311,0,None,None,None
Lawrence of Arabia,15000000,45306425,20846,2002-09-22 00:00:00,45752380,0,None,None,None
The Apartment,0,0,0,1900-01-01 00:00:00,0,0,None,None,None
Incendies,6800000,2071334,50679,2011-04-24 00:00:00,6797861,131,Color,Dolby Digital,1.85 : 1
North by Northwest,0,0,0,1900-01-01 00:00:00,0,0,None,None,None
Citizen Kane,0,0,0,1900-01-01 00:00:00,0,0,None,None,None
M,0,0,0,1900-01-01 00:00:00,0,117,Black and White,Mono,1.19 : 11.20 : 1
Scarface,50000000,45967303,4597536,1983-12-11 00:00:00,66443303,170,Color,4-Track Stereo(original release),2.39 : 1
Double Indemnity,0,0,0,1900-01-01 00:00:00,0,0,None,None,None
Vertigo,2479000,7705225,252880,2018-03-18 00:00:00,7808250,0,None,None,None
Full Metal Jacket,30000000,46357676,2217307,1987-06-28 00:00:00,46361894,0,None,None,None
Amélie,10000000,33712444,136470,2001-11-04 00:00:00,174923461,122,ColorBlack and White,DTSDolby Digital,2.39 : 1
Heat,60000000,67436818,8445656,1995-12-17 00:00:00,187436818,170,Color,Dolby DigitalSDDSDolby Surround 5.1,2.39 : 1
Up,175000000,293004164,68108790,2009-05-31 00:00:00,735102136,96,Color,SDDSDolby DigitalDolby AtmosDolby Surround 7.1,1.85 : 1
A Clockwork Orange,0,0,0,1900-01-01 00:00:00,0,136,ColorBlack and White,Mono,1.66 : 1
To Kill a Mockingbird,2000000,592237,357549,2019-03-24 00:00:00,599146,129,Black and White,Dolby Digital,1.85 : 1
A Separation,500000,7099055,59481,2012-01-01 00:00:00,22926076,123,Color,Dolby Digital,1.85 : 1
The Sting,0,0,0,1900-01-01 00:00:00,0,0,None,None,None
Indiana Jones and the Last Crusade,48000000,197171806,29355021,1989-05-28 00:00:00,474171806,127,Color,Dolby Atmos,2.39 : 1
Die Hard,28000000,85892546,601851,1988-07-17 00:00:00,143651650,0,None,None,None
Like Stars on Earth,0,0,0,1900-01-01 00:00:00,0,162,Color,DTSDolby Digital,2.35 : 1
Metropolis,6000000,1236166,19386,2002-07-14 00:00:00,1350322,0,None,None,None
Snatch,6000000,30328156,27932,2000-12-10 00:00:00,83557872,104,Color,Dolby DigitalSDDSDolby Atmos,1.85 : 1
L.A. Confidential,35000000,64616940,5211198,1997-09-21 00:00:00,126216940,138,Color,Dolby Digital,2.39 : 1
1917,95000000,159227644,576216,2019-12-29 00:00:00,384580017,119,Color,Dolby AtmosDolby DigitalDolby Surround 7.1,2.39 : 1
Hamilton,0,0,0,1900-01-01 00:00:00,0,160,Color,Dolby AtmosDolby Surround 7.1Dolby Digital,1.85 : 1
Bicycle Thieves,133000,371111,25377,1998-10-04 00:00:00,450159,89,Black and White,Mono,1.37 : 1
Taxi Driver,1300000,28262574,116458,1996-02-19 00:00:00,28579636,0,None,None,None
Downfall,13500000,5509040,18195,2005-02-20 00:00:00,92181574,156,Color,Dolby DigitalDTS,1.85 : 1
Dangal,700000000,12391761,3248481,2016-12-25 00:00:00,303723636,161,Color,Dolby Atmos,2.35 : 1
For a Few Dollars More,0,0,0,1900-01-01 00:00:00,0,132,Color,Mono,2.35 : 1
Batman Begins,150000000,206863479,48745440,2005-06-19 00:00:00,375325692,140,Color,DTSDolby DigitalSDDS,2.39 : 1
The Wolf of Wall Street,100000000,116900694,18361578,2013-12-29 00:00:00,407039432,0,Color,DatasatDolby DigitalDolby Surround 7.1,2.39 : 1
Some Like It Hot,0,0,0,1900-01-01 00:00:00,0,0,None,None,None
Green Book,23000000,85080171,320429,2018-11-18 00:00:00,321752656,130,Color,Dolby Surround 7.1SDDS,2.00 : 1
The Kid,0,0,0,1900-01-01 00:00:00,0,0,None,None,None
The Father,0,0,0,1900-01-01 00:00:00,0,97,Color,Dolby Digital,2.39 : 1
Judgment at Nuremberg,0,0,0,1900-01-01 00:00:00,0,0,None,None,None
The Truman Show,60000000,125618201,31542121,1998-06-07 00:00:00,264118712,103,Color,DTSDolby DigitalDolby Atmos,1.66 : 1
All About Eve,1400000,63463,10177,2000-10-08 00:00:00,152599,0,None,None,None
Shutter Island,80000000,128012934,41062440,2010-02-21 00:00:00,294933742,138,Color,SDDSDolby DigitalDTS,2.39 : 1
Top Gun: Maverick,170000000,718732821,126707459,2022-05-29 00:00:00,1495696292,130,Color,Dolby AtmosAuro 11.1IMAX 6-Track12-Track Digital SoundSonics-DDP,2.39 : 1
There Will Be Blood,25000000,40222514,190739,2007-12-30 00:00:00,76186224,158,Color,SDDSDolby DigitalDTS,2.39 : 1
Casino,52000000,42512375,9946480,1995-11-26 00:00:00,116112375,178,Color,DTS-StereoDTS,2.39 : 1
Jurassic Park,63000000,407185075,47026828,1993-06-13 00:00:00,1103086582,127,Color,DTS,1.85 : 1
Ran,11500000,4135750,3567,2000-07-02 00:00:00,4166319,0,None,None,None
The Sixth Sense,40000000,293506292,26681262,1999-08-08 00:00:00,672806432,107,Color,DTSDolby DigitalSDDS,1.85 : 1
Pan's Labyrinth,19000000,37646380,568641,2006-12-31 00:00:00,83863565,118,Color,DTSDolby DigitalSDDSDolby Surround 7.1,1.85 : 1
Unforgiven,14400000,101167799,15018007,1992-08-09 00:00:00,159167799,0,None,None,None
No Country for Old Men,25000000,74283625,1202000,2007-11-11 00:00:00,171632777,122,Color,SDDSDolby DigitalDTS,2.39 : 1
A Beautiful Mind,58000000,170742341,367151,2001-12-23 00:00:00,316791257,135,Color,DTSDolby DigitalSDDS,1.85 : 1
The Thing,15000000,19857465,3107897,1982-06-27 00:00:00,19872469,0,None,None,None
Kill Bill: Vol. 1,30000000,70099045,22200000,2003-10-12 00:00:00,180908413,111,ColorBlack and White,DTSDolby DigitalSDDS,2.39 : 1
The Treasure of the Sierra Madre,3000000,5014000,144074,2018-01-14 00:00:00,5014000,0,None,None,None
Yojimbo,0,0,0,1900-01-01 00:00:00,0,0,None,None,None
Monty Python and the Holy Grail,229575,2562392,45487,2001-06-17 00:00:00,2817496,0,None,None,None
The Great Escape,0,0,0,1900-01-01 00:00:00,0,0,None,None,None
Finding Nemo,94000000,380843261,70251710,2003-06-01 00:00:00,941637960,0,None,None,None
Prisoners,46000000,61002302,20817053,2013-09-22 00:00:00,122127446,0,None,None,None
Howl's Moving Castle,24000000,6789268,427987,2005-06-12 00:00:00,237731798,119,Color,Dolby Digital EXDTS-ESSDDS,1.85 : 1
Rashomon,250000,46808,15942,2002-07-28 00:00:00,117668,0,None,None,None
The Elephant Man,0,0,0,1900-01-01 00:00:00,0,124,Black and White,Dolby Stereo,2.35 : 1
Dial M for Murder,1400000,24845,12562,1999-04-11 00:00:00,43308,0,None,None,None
Chinatown,0,0,0,1900-01-01 00:00:00,0,0,None,None,None
Gone with the Wind,3977000,200882193,1192593,1998-06-28 00:00:00,402382193,0,None,None,None
Lock, Stock and Two Smoking Barrels,960000,3753929,143321,1999-03-07 00:00:00,3753929,107,Color,Dolby Digital,1.85 : 1
The Secret in Their Eyes,2000000,6391436,167866,2010-04-18 00:00:00,35079650,129,Color,Dolby Digital,2.35 : 1
V for Vendetta,54000000,70511035,25642340,2006-03-19 00:00:00,134686457,132,Color,DTSDolby DigitalSDDSDolby Atmos,2.35 : 1
Inside Out,175000000,356921711,90440272,2015-06-21 00:00:00,858852998,95,Color,Dolby DigitalDatasatDolby AtmosSDDSDolby Surround 7.1Auro 11.112-Track Digital SoundD-Cinema 48kHz Dolby Surround 7.1D-Cinema 96kHz 7.1D-Cinema 96kHz 5.1,1.78 : 1
Raging Bull,18000000,23383987,128590,1980-11-16 00:00:00,23405198,129,Black and WhiteColor,Dolby Stereo,1.85 : 1
Three Billboards Outside Ebbing, Missouri,15000000,54513740,322168,2017-11-12 00:00:00,162729321,115,Color,Dolby Digital,2.35 : 1
